,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,id,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
1,4435,312,42.54007583,17.33320698,16.70524904,76.35230396,1,2301.910996,1130.297012,150.9723927,0.966638083,0.023284688
2,2008,196,25.67025338,5.50287288,11.56729874,37.22389994,2,1574.587567,364.7830572,61.91769547,0.760976892,-1.197059877
3,1702,165,23.72552998,4.721933489,14.66296597,33.49286891,3,781.1898562,365.5129958,52.69659937,0.76981332,-1.108422268
4,3329,304,37.42310673,13.56474141,15.6725012,61.84995366,4,2187.655249,1130.435469,111.2233046,0.935100312,0.03182497
5,1548,161,22.15075718,4.984582138,10.7018201,32.35749085,5,1180.916328,368.4750235,54.05716483,0.768050308,-1.271803558
6,1615,158,23.70148732,5.430231645,12.98583189,34.39107085,6,1446.745802,367.6168832,58.21775976,0.832665166,-1.246325974
7,1870,172,24.15854497,4.500662578,10.72860323,32.43093767,7,1046.422088,367.8518834,57.79820258,0.745590858,-1.336843724
8,1709,193,23.40638151,4.553385632,11.74838561,32.74471368,8,913.0727771,367.9714704,52.83954076,0.643171657,-1.07598061
9,1304,143,21.36794583,5.587405195,9.089079967,33.39616269,9,2049.79099,534.1181192,50.527837,0.75303515,-0.378376272
10,2450,384,32.9249409,11.03784439,12.32712488,58.50231199,10,517.235466,66.3431382,73.94262451,0.360510668,1.2485582
11,1458,205,20.3223663,8.40668979,0.225711908,34.58319371,11,910.231879,717.3006763,65.81858511,0.830996643,-0.923608018
12,996,102,17.60453451,2.851274935,12.55769461,24.02061222,12,1535.416273,887.38278,38.08155604,0.668678819,-0.018615159
13,1790,240,23.65227527,5.189097439,8.907242878,34.11105357,13,1121.13195,347.1396031,50.92548709,0.50093339,0.807310438
14,1540,198,22.3893821,6.10591895,5.842978165,32.69385062,14,40.46137664,60.03387568,53.19041402,0.624660402,-1.281869267
15,1568,191,22.37527273,6.203594453,9.503858111,35.79864822,15,919.4903562,62.49235437,64.37406298,0.851752203,-0.301564246
16,2418,302,35.88044325,16.35345323,4.485748036,70.34655991,16,156.3010566,673.9750805,122.8783724,0.966650941,-0.024447572
17,1284,133,19.81618798,4.552495767,7.7986563,28.27495668,17,1315.32074,366.7326459,46.86015616,0.686026552,-1.074169242
18,1309,153,20.74442066,4.937716622,9.947594324,30.33592521,18,1183.033444,712.3603256,53.46379908,0.80809544,-1.296831359
19,1415,216,23.07255945,6.782691824,11.93944053,39.70906067,19,1051.096389,709.2237943,65.36793075,0.861244388,-1.450285657
20,1293,136,20.29807135,4.575335306,13.22526172,29.43729958,20,1320.143792,704.5594779,52.84537799,0.826884647,-1.353490701
21,1362,178,20.70473391,3.240309852,10.51375789,27.94597122,21,91.59031606,156.4732395,46.41690169,0.513264259,1.398117934
22,1143,162,19.04662769,5.883374924,7.591061775,31.04547873,22,699.4380226,692.2091837,58.6438484,0.887994232,-0.492323625
23,941,141,17.55213808,3.3192717,11.38949019,26.1769197,23,89.86617768,54.0371241,37.82737106,0.545440368,0.320070302
24,3530,304,35.02451684,5.611199066,23.5319974,47.05062678,24,49.75111845,123.6155796,82.97541838,0.677127005,1.49135669
25,1516,187,22.04562708,6.782481214,6.466204817,35.50271568,25,783.1737529,706.0204718,63.30071498,0.87275007,-1.492813982
26,1441,231,23.28740436,7.058341471,9.486946565,39.21168535,26,1070.851404,60.2394077,56.48291071,0.695957709,-0.610939562
27,989,140,17.7313799,2.382098081,12.17178487,24.49829857,27,68.06158018,74.00318646,37.59130723,0.359383529,-0.247345203
28,1566,200,25.62300274,10.79483582,6.666577083,41.64028398,28,2351.345909,593.4444,83.57592256,0.957163489,-1.463300184
29,1251,189,19.7050563,5.287215383,9.386161366,28.60855172,29,997.642604,85.7692616,50.94662858,0.730361702,-0.687578637
30,1409,170,21.77190083,5.243589785,9.431532549,31.28992951,30,1077.05542,121.1378912,52.47364807,0.696031212,-1.566390622
31,1035,144,18.03427134,4.422489322,8.732425583,28.14234119,31,1577.533331,712.0931075,47.13878935,0.801010931,-0.869044061
32,834,121,15.52423815,2.78447593,8.423997388,21.70702967,32,624.3554018,114.8162668,34.21250399,0.4671947,0.380386761
33,1689,219,27.79715467,11.62092456,8.087883351,49.08810617,33,2353.00582,500.7217268,88.19800531,0.962151953,1.484977999
34,951,129,18.70407786,6.00045309,8.373829851,31.29400621,34,1885.684506,1135.869832,44.51615114,0.833380856,-0.034755036
35,857,110,16.72851602,3.884964617,11.4355976,25.61622678,35,2036.455422,453.1502803,40.84620492,0.837448979,-0.446565606
36,1880,252,25.57416228,7.209490848,12.963829,40.94534381,36,679.1592014,65.26626523,66.94466195,0.763703749,-0.540130815
37,1207,206,19.77954411,6.529667968,5.0234463,31.7592898,37,841.6303479,682.4462497,52.37163053,0.770760656,-0.475177201
38,973,161,17.69151688,4.445826239,6.994417632,26.31066458,38,1214.730871,60.18396514,41.08700533,0.624496201,0.161279936
39,1145,166,21.15709857,6.858950483,9.20552101,36.40891494,39,1102.005958,688.5570497,57.82260031,0.898906739,-0.604019192
40,2145,274,28.90174637,10.69034397,6.564707407,46.80328982,40,112.886573,211.0031417,86.98052661,0.90911411,-1.164849913
41,1429,216,21.1978568,5.93253185,5.867551023,33.2955676,41,1434.944479,529.5960122,50.77355498,0.62773355,-1.070874652
42,1242,211,21.37999641,8.145682596,1.836570859,36.88194959,42,1253.200713,65.40673016,62.35897889,0.822610278,-0.589778273
43,912,136,17.01582907,3.840509747,7.68728813,23.86648497,43,230.8168958,287.8070297,42.38726541,0.734408698,-1.384262723
44,802,123,17.03342434,4.809581067,7.27331541,27.63920236,44,2195.957595,64.49628149,41.23973678,0.73721146,-0.036024433
45,1143,179,20.51194146,5.472493808,8.615258756,33.77636445,45,164.0891091,250.7538181,53.30903775,0.821367425,1.449408697
46,1001,154,18.60382191,5.52460216,9.958678753,31.30816597,46,1449.587678,710.3069731,53.25842324,0.856065651,-1.019772012
47,825,121,16.24407002,3.296579115,10.93096042,24.42779771,47,39.6798091,183.401746,41.38266217,0.7816541,1.425104783
48,2821,287,37.88284096,18.12294105,10.22516003,70.44255249,48,78.18363679,1134.329489,150.6865437,0.987640838,-0.029446392
49,1908,239,26.39378804,7.932013641,11.12553245,44.28633609,49,1027.100189,66.91695875,66.69145345,0.786094122,0.71322133
50,1384,194,21.04216358,5.947510188,7.565782998,33.01505187,50,966.0440095,686.5638129,56.07625117,0.733913897,-0.209095246
51,1364,173,22.71033979,7.64697924,8.192130127,38.91440157,51,2027.450978,603.1838809,64.97923607,0.912742813,0.841427229
52,993,152,18.44450764,4.997945338,10.09876993,29.36003184,52,713.3428841,400.4969406,49.47776114,0.836185924,0.329796628
53,1444,186,23.8449503,8.084945574,9.48532314,39.88469079,53,274.1463679,380.5965547,67.03837464,0.844252176,-0.325690527
54,1407,191,21.83065282,8.016607472,4.55157242,35.13846291,54,1376.845599,674.2317489,68.89636128,0.911352791,-0.821508661
55,1294,191,20.57679159,3.470307102,12.57866342,29.04091262,55,972.6466468,65.27675775,49.18898511,0.657757141,-1.20801804
56,532,91,12.6476053,1.601432698,8.61387069,15.94636888,56,624.6294372,86.4468113,27.17558168,0.426966166,0.172750497
57,747,97,15.18517287,3.030255023,9.112200788,20.51228541,57,1237.357031,689.4042274,37.88715957,0.818352477,-0.118916046
58,1310,165,21.34621199,8.031534802,3.979917447,36.91575648,58,1626.461199,690.5958994,67.50497189,0.916895186,-0.76665971
59,1600,187,23.19760771,5.12944588,11.22799194,32.52762538,59,633.2685355,61.1714255,57.35481744,0.682947012,0.081921324
60,2076,249,26.19638408,5.182895983,15.58199913,37.49735602,60,114.8578188,118.6195773,62.17955774,0.623676596,0.178228652
61,506,85,12.83279842,2.954647548,7.539772284,18.61596219,61,1709.227805,890.9487114,26.22717,0.517329452,1.531127578
62,1151,186,20.61090413,6.612719782,6.770841038,31.50857859,62,579.8304993,464.8594655,62.44256426,0.898844246,0.571473767
63,1197,158,20.79810663,7.583689515,0.681460725,32.99111632,63,2062.204281,117.0093451,56.30422876,0.861217307,-0.721350537
64,979,176,18.04051066,6.2228472,3.484251946,30.16645507,64,214.5749597,363.2352527,52.51116397,0.852920261,0.252825182
65,606,83,13.63781759,2.348514422,8.253539689,17.19240381,65,1779.229742,891.4114278,32.09388469,0.726843604,1.220772084
66,1104,184,19.67901523,5.688120401,7.991579409,30.87978293,66,186.3181134,283.7092826,52.66163725,0.837045303,-0.124414407
67,644,109,13.91459321,2.736121352,7.725718524,18.57685578,67,657.9255076,112.1205348,34.7125454,0.721974531,-0.279423052
68,680,128,14.91622868,4.673966795,6.625294805,24.21042196,68,35.38765861,217.8919881,45.18976498,0.899376235,1.268639604
69,758,115,15.29738974,3.185719458,6.602846382,21.88184114,69,1177.042952,441.7497022,35.81746575,0.556445611,-0.830667051
70,928,168,18.61788429,6.71124981,7.805305644,33.43054543,70,200.3083432,428.3660937,58.97610423,0.916083742,-0.035185354
71,728,112,15.10854824,3.203644647,7.899177334,21.15091696,71,1637.209114,386.9043533,37.46017599,0.732670439,0.934151604
72,1076,161,20.17226587,7.544757699,5.419752064,34.24592896,72,802.4409547,122.2975972,62.52339735,0.923270837,-0.179941662
73,928,140,18.95538367,6.484653096,6.695936172,30.48898848,73,870.7435098,543.8140727,45.1449473,0.726098708,1.55963456
74,730,118,15.09018116,3.418115951,7.623638566,22.51104137,74,1648.317761,551.713861,39.08497292,0.794718222,-1.108211296
75,597,95,13.40646315,2.075510283,9.456885691,17.10927888,75,979.2192519,391.8272714,27.25006987,0.336600366,1.035253304
76,1255,172,21.38023598,7.456029636,8.671799592,35.02344884,76,162.4601076,190.2757788,64.96174481,0.913320154,1.499090863
77,778,117,16.28571748,4.782328411,6.166392718,25.50177716,77,1502.986918,684.7397829,41.08032403,0.819453655,0.217420315
78,711,101,14.80357874,4.324162977,4.411643878,22.0899876,78,254.3398853,951.084883,40.33822874,0.863893874,0.78124617
79,487,107,12.80301035,3.553951601,5.951047869,20.8390364,79,78.70277279,187.7755389,32.16929481,0.727088884,-0.653983022
80,529,80,12.3829416,1.818380385,6.786475521,15.30706536,80,2005.505036,225.4023508,28.03695521,0.584856077,1.366068084
81,642,117,14.26362187,3.655028119,6.756581897,23.46031632,81,1551.558227,63.90754798,34.03042364,0.608563343,-0.012670292
